application_id,dealer_id,vehicle_type,region,applicant_income,loan_amount,vehicle_age,application_date,bad
APP-00900,D002,car,midwest,50431.80531406645,19142.606055566754,11,2025-03-20T00:00:00.000000000,1
APP-01876,D001,suv,south,47719.27851888877,21445.070213443505,12,2025-02-06T00:00:00.000000000,1
APP-01338,D001,car,midwest,42838.83000494177,19827.09474619561,5,2025-03-19T00:00:00.000000000,1
APP-01803,D001,truck,south,51641.04925279387,21037.882872440765,8,2025-03-18T00:00:00.000000000,0
APP-01162,D001,truck,south,55499.5641212938,20191.133163315015,3,2025-02-15T00:00:00.000000000,0
APP-01279,D001,truck,south,53754.20268706111,23185.826335195197,8,2025-03-13T00:00:00.000000000,1
APP-00169,D001,truck,midwest,48040.12661358495,24758.129973399293,6,2025-03-17T00:00:00.000000000,1
APP-01815,D002,suv,midwest,43123.466814972635,20976.024985342337,4,2025-01-09T00:00:00.000000000,1
APP-01663,D001,truck,midwest,57699.13108542559,16236.601708313321,10,2025-01-13T00:00:00.000000000,0
APP-00511,D002,car,south,49073.39572233761,18121.49867868122,4,2025-03-22T00:00:00.000000000,1
APP-01820,D001,truck,midwest,55175.35657717747,15139.994218378026,9,2025-03-15T00:00:00.000000000,1
APP-00553,D002,car,south,59175.97353743096,21516.821285422102,7,2025-01-13T00:00:00.000000000,1
APP-00171,D001,car,south,58976.46341982796,17791.222062158737,6,2025-01-14T00:00:00.000000000,0
APP-01921,D001,truck,south,39430.94547157045,13162.794125341767,3,2025-02-28T00:00:00.000000000,1
APP-01883,D001,suv,midwest,35295.74987373919,18510.084673171677,6,2025-02-04T00:00:00.000000000,0
APP-00662,D002,truck,midwest,49051.5092236144,20177.918898772674,11,2025-03-10T00:00:00.000000000,0
APP-00292,D001,car,midwest,53438.01306327603,22376.458869356273,3,2025-01-19T00:00:00.000000000,0
APP-00623,D001,car,midwest,49911.70676854404,18989.92277363903,8,2025-01-02T00:00:00.000000000,0
APP-01747,D002,suv,south,44060.009471825535,25424.493025697506,6,2025-03-26T00:00:00.000000000,0
APP-01445,D001,truck,south,50747.628901193224,21073.151559953363,6,2025-02-19T00:00:00.000000000,0
APP-01739,D001,truck,south,48568.67130482644,20392.47028118297,6,2025-01-27T00:00:00.000000000,0
APP-00444,D001,car,south,56008.277246372,18280.88760934665,11,2025-02-27T00:00:00.000000000,1
APP-01550,D001,suv,midwest,54660.0048516332,16967.27807580773,3,2025-02-14T00:00:00.000000000,0
APP-00391,D002,suv,south,57075.033292856315,14971.392684017655,11,2025-03-16T00:00:00.000000000,0
APP-00554,D001,car,midwest,56756.14655547524,25968.4947671612,8,2025-03-29T00:00:00.000000000,0
APP-00826,D001,truck,south,54423.7423408293,19620.49880952731,7,2025-03-29T00:00:00.000000000,1
APP-00163,D001,suv,midwest,43793.508721066624,17322.302571195632,7,2025-03-30T00:00:00.000000000,0
APP-01197,D002,car,midwest,44880.451675332675,17490.014479908663,8,2025-02-24T00:00:00.000000000,0
APP-01826,D002,truck,midwest,44812.85991709349,25273.629183390432,12,2025-03-23T00:00:00.000000000,1
APP-01270,D001,truck,midwest,55420.77918865403,18914.00045492138,10,2025-02-21T00:00:00.000000000,1
APP-01953,D001,truck,south,49244.71166460468,18982.957536704238,11,2025-02-19T00:00:00.000000000,1
